index,year,queensland
NINO34_NOAA__Avg_1Yr,1950,26.306
NINO34_NOAA__Avg_1Yr,1951,27.441
NINO34_NOAA__Avg_1Yr,1952,27.068
NINO34_NOAA__Avg_1Yr,1953,27.098
NINO34_NOAA__Avg_1Yr,1954,26.094
NINO34_NOAA__Avg_1Yr,1955,25.903
NINO34_NOAA__Avg_1Yr,1956,26.706
NINO34_NOAA__Avg_1Yr,1957,27.885
NINO34_NOAA__Avg_1Yr,1958,27.18
NINO34_NOAA__Avg_1Yr,1959,26.914
NINO34_NOAA__Avg_1Yr,1960,27.01
NINO34_NOAA__Avg_1Yr,1961,26.723
NINO34_NOAA__Avg_1Yr,1962,26.826
NINO34_NOAA__Avg_1Yr,1963,27.388
NINO34_NOAA__Avg_1Yr,1964,26.543
NINO34_NOAA__Avg_1Yr,1965,28.005
NINO34_NOAA__Avg_1Yr,1966,26.804
NINO34_NOAA__Avg_1Yr,1967,26.656
NINO34_NOAA__Avg_1Yr,1968,27.566
NINO34_NOAA__Avg_1Yr,1969,27.413
NINO34_NOAA__Avg_1Yr,1970,26.067
NINO34_NOAA__Avg_1Yr,1971,26.693
NINO34_NOAA__Avg_1Yr,1972,27.973
NINO34_NOAA__Avg_1Yr,1973,25.642
NINO34_NOAA__Avg_1Yr,1974,26.394
NINO34_NOAA__Avg_1Yr,1975,25.992
NINO34_NOAA__Avg_1Yr,1976,27.503
NINO34_NOAA__Avg_1Yr,1977,27.405
NINO34_NOAA__Avg_1Yr,1978,26.918
NINO34_NOAA__Avg_1Yr,1979,27.355
NINO34_NOAA__Avg_1Yr,1980,26.952
NINO34_NOAA__Avg_1Yr,1981,27.122
NINO34_NOAA__Avg_1Yr,1982,28.608
NINO34_NOAA__Avg_1Yr,1983,26.413
NINO34_NOAA__Avg_1Yr,1984,26.221
NINO34_NOAA__Avg_1Yr,1985,26.558
NINO34_NOAA__Avg_1Yr,1986,27.94
NINO34_NOAA__Avg_1Yr,1987,27.594
NINO34_NOAA__Avg_1Yr,1988,25.582
NINO34_NOAA__Avg_1Yr,1989,26.972
NINO34_NOAA__Avg_1Yr,1990,27.328
NINO34_NOAA__Avg_1Yr,1991,28.135
NINO34_NOAA__Avg_1Yr,1992,27.328
NINO34_NOAA__Avg_1Yr,1993,27.213
NINO34_NOAA__Avg_1Yr,1994,27.66
NINO34_NOAA__Avg_1Yr,1995,26.579
NINO34_NOAA__Avg_1Yr,1996,27.05
NINO34_NOAA__Avg_1Yr,1997,28.716
NINO34_NOAA__Avg_1Yr,1998,25.995
NINO34_NOAA__Avg_1Yr,1999,25.93
NINO34_NOAA__Avg_1Yr,2000,26.543
NINO34_NOAA__Avg_1Yr,2001,27.033
NINO34_NOAA__Avg_1Yr,2002,27.681
NINO34_NOAA__Avg_1Yr,2003,27.24
NINO34_NOAA__Avg_1Yr,2004,27.538
NINO34_NOAA__Avg_1Yr,2005,26.712
NINO34_NOAA__Avg_1Yr,2006,27.372
NINO34_NOAA__Avg_1Yr,2007,25.963
NINO34_NOAA__Avg_1Yr,2008,26.733
NINO34_NOAA__Avg_1Yr,2009,27.872
NINO34_NOAA__Avg_1Yr,2010,25.887
NINO34_NOAA__Avg_1Yr,2011,26.474
NINO34_NOAA__Avg_1Yr,2012,27.088
NINO34_NOAA__Avg_1Yr,2013,27.001
NINO34_NOAA__Avg_1Yr,2014,27.699
NINO34_NOAA__Avg_1Yr,2015,28.78
NINO34_NOAA__Avg_1Yr,2016,26.831
NINO34_NOAA__Avg_1Yr,2017,26.612
